,順位,ゼッケン,氏名,所属,吉見 21.4km,手島 32.7km,玉淀 52.2km,唐子 72.6km,川越 91.7km,成願寺 128.6km,浅草橋 146.5km,おしなり 159.4km,舟渡 181.3km,秋ヶ瀬 193.1km,ゴール 207.5km,ペース(分/㎞)
23,24,2182,坂本　隆太,市川ヨットスクール（仮）,02:01:22(14位),03:10:35(14位),05:01:18(12位),07:32:37(20位),09:43:01(16位),15:07:29(26位),17:58:14(23位),20:12:22(24位),23:48:47(23位),25:46:36(23位),28:05:53(24位),08:07.48
24,25,2208,清水　嘉男,ナイスおっさん,02:17:19(88位),03:30:06(55位),05:27:05(39位),07:47:56(34位),10:12:26(37位),15:46:34(37位),18:40:32(29位),20:48:35(31位),24:10:50(26位),26:05:46(26位),28:06:24(25位),08:07.63
25,26,2112,門脇　健児,,01:58:18(13位),03:05:13(11位),04:55:50(10位),07:05:28(8位),09:12:18(7位),15:04:19(24位),18:24:22(26位),20:47:58(29位),24:39:08(32位),26:12:00(28位),28:06:56(26位),08:07.79
26,27,2190,指江　大介,,02:04:36(27位),03:17:24(26位),05:20:26(31位),07:46:59(32位),09:54:47(24位),14:56:48(22位),18:05:30(24位),20:18:30(25位),23:56:41(24位),25:52:40(24位),28:24:40(27位),08:12.91
27,28,2369,布施　智之,ＡＬＬ☆ＯＵＴ,02:09:42(42位),03:25:45(43位),05:41:45(60位),08:00:36(45位),11:07:18(93位),16:47:04(67位),19:31:40(48位),21:38:23(47位),24:42:28(35位),26:22:55(29位),28:40:51(28位),08:17.59
28,29,2410,三田　愛,無限会社ZERO,02:23:34(184位),03:44:14(145位),05:54:32(104位),08:22:30(76位),10:45:35(65位),16:00:59(40位),18:53:08(36位),21:08:01(34位),24:41:18(34位),26:33:08(32位),28:41:08(29位),08:17.67
29,30,2046,井龍　哲朗,,02:21:15(148位),03:33:17(71位),05:33:15(45位),07:58:01(43位),10:13:27(40位),15:45:54(36位),18:42:16(30位),20:53:24(32位),24:29:32(31位),26:32:48(31位),28:44:54(30位),08:18.77
30,31,2206,島田　陽,二の鳥居グループラン,02:17:08(83位),03:33:27(72位),05:37:11(52位),08:04:49(51位),10:21:13(45位),16:02:03(41位),18:48:40(35位),20:48:08(30位),24:19:17(27位),26:10:19(27位),28:57:03(31位),08:22.28
31,32,2449,山本　宙,,02:19:04(117位),03:35:06(78位),05:50:05(84位),08:23:11(79位),10:39:31(59位),15:56:21(38位),19:02:10(38位),21:23:29(36位),25:10:37(41位),27:01:26(35位),28:57:09(32位),08:22.31
32,33,2177,酒井　隆,,02:17:29(91位),03:37:41(99位),05:50:48(86位),08:32:27(95位),11:00:44(83位),16:45:23(66位),19:48:28(55位),22:06:05(57位),25:39:06(53位),27:13:36(46位),29:07:51(33位),08:25.40
